"((var30) >= (var31)) until [1737,1771] (G [407,1295] ((var32) < (var33)))","{'until': {'left_node': {'predicate': {'left_node': 'var30', 'right_node': 'var31', 'type': '>='}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'var32', 'right_node': 'var33', 'type': '<'}}, 'bound': [407.0, 1295.0]}}, 'bound': [1737.0, 1771.0]}}","var30 is greater than or equal to var31 and this holds until the interval [1737,1771] when, always within the interval [407,1295], var32 is less than var33."
"(not ((var34) until [1945,1993] (var35)) ) until [126,1422] ((F [1269,1656] (var36)) and ((var37) and (var38)))","{'until': {'left_node': {'not': {'child_node': {'until': {'left_node': 'var34', 'right_node': 'var35', 'bound': [1945.0, 1993.0]}}}}, 'right_node': {'and': {'left_node': {'eventually_bounded': {'child_node': 'var36', 'bound': [1269.0, 1656.0]}}, 'right_node': {'and': {'left_node': 'var37', 'right_node': 'var38'}}}}, 'bound': [126.0, 1422.0]}}","It is not the case that var34 holds true until the interval [1945,1993] when var35 becomes true. This entire condition holds until the interval [126,1422] when, eventually within the interval [1269,1656], var36 is true and both var37 and var38 are true."
"(not (not (var39) ) ) until [1212,1494] (G [1444,1557] ((var40) > (var41)))","{'until': {'left_node': {'not': {'child_node': {'not': {'child_node': 'var39'}}}}, 'right_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'var40', 'right_node': 'var41', 'type': '>'}}, 'bound': [1444.0, 1557.0]}}, 'bound': [1212.0, 1494.0]}}","It is not the case that var39 is not true. This condition holds until the interval [1212,1494] when, always within the interval [1444,1557], var40 is greater than var41."
"not (((var44) and (var45)) until [1945,1998] ((var46) == (var47)))","{'not': {'child_node': {'until': {'left_node': {'and': {'left_node': 'var44', 'right_node': 'var45'}}, 'right_node': {'predicate': {'left_node': 'var46', 'right_node': 'var47', 'type': '=='}}, 'bound': [1945.0, 1998.0]}}}}","It is not the case that both var44 and var45 are true until the interval [1945,1998] when var46 is equal to var47."
"((G [1788,1811] (var48)) and (F [1099,1387] (var49))) and (((var50) or (var51)) until [780,1521] ((var52) <= (0.71)))","{'and': {'left_node': {'and': {'left_node': {'always_bounded': {'child_node': 'var48', 'bound': [1788.0, 1811.0]}}, 'right_node': {'eventually_bounded': {'child_node': 'var49', 'bound': [1099.0, 1387.0]}}}}, 'right_node': {'until': {'left_node': {'or': {'left_node': 'var50', 'right_node': 'var51'}}, 'right_node': {'predicate': {'left_node': 'var52', 'right_node': 0.71, 'type': '<='}}, 'bound': [780.0, 1521.0]}}}}","Always within the interval [1788,1811], var48 is true and eventually within the interval [1099,1387], var49 is true. This entire condition holds true and either var50 is true or var51 holds true until the interval [780,1521] when var52 is less than or equal to 0.71."
"(G [928,1072] (not (var56) )) or (F [1224,1631] ((var57) <= (0.13)))","{'or': {'left_node': {'always_bounded': {'child_node': {'not': {'child_node': 'var56'}}, 'bound': [928.0, 1072.0]}}, 'right_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'var57', 'right_node': 0.13, 'type': '<='}}, 'bound': [1224.0, 1631.0]}}}}","Either always within the interval [928,1072], var56 is not true or eventually within the interval [1224,1631], var57 is less than or equal to 0.13."
"(F [1581,1841] ((var62) < (var63))) or ((var64) == (0.13))","{'or': {'left_node': {'eventually_bounded': {'child_node': {'predicate': {'left_node': 'var62', 'right_node': 'var63', 'type': '<'}}, 'bound': [1581.0, 1841.0]}}, 'right_node': {'predicate': {'left_node': 'var64', 'right_node': 0.13, 'type': '=='}}}}","Eventually within the interval [1581,1841], var62 is less than var63 or var64 is equal to 0.13."
"(G [1467,1884] (G [1748,1879] (F [968,1896] (var65)))) and (G [705,1347] (((var66) == (0.66)) until [1044,1213] ((var67) >= (2.43))))","{'and': {'left_node': {'always_bounded': {'child_node': {'always_bounded': {'child_node': {'eventually_bounded': {'child_node': 'var65', 'bound': [968.0, 1896.0]}}, 'bound': [1748.0, 1879.0]}}, 'bound': [1467.0, 1884.0]}}, 'right_node': {'always_bounded': {'child_node': {'until': {'left_node': {'predicate': {'left_node': 'var66', 'right_node': 0.66, 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'var67', 'right_node': 2.43, 'type': '>='}}, 'bound': [1044.0, 1213.0]}}, 'bound': [705.0, 1347.0]}}}}","Always within the interval [1467,1884], always within the interval [1748,1879], eventually within the interval [968,1896], var65 is true. This entire condition holds true and always within the interval [705,1347], either var66 is equal to 0.66 or it holds true until the interval [1044,1213] when, always within the interval [1015,1030], var67 is true."
"not (F [1530,1532] (not ((var68) until [1119,1170] (var69)) ))","{'not': {'child_node': {'eventually_bounded': {'child_node': {'not': {'child_node': {'until': {'left_node': 'var68', 'right_node': 'var69', 'bound': [1119.0, 1170.0]}}}}, 'bound': [1530.0, 1532.0]}}}}","It is not the case that, eventually within the interval [1530,1532], it is untrue that var68 holds until the interval [1119,1170] when var69 becomes true."
"G [1607,1641] (G [550,1304] ((var70) == (var71)))","{'always_bounded': {'child_node': {'always_bounded': {'child_node': {'predicate': {'left_node': 'var70', 'right_node': 'var71', 'type': '=='}}, 'bound': [550.0, 1304.0]}}, 'bound': [1607.0, 1641.0]}}","Always, within the interval [1607,1641], it is always the case within the interval [550,1304] that var70 is equal to var71."
